title,box_off_num
노브레싱,99101.05740422446
말하는 건축 시티:홀,369350.61219052534
댄서김의 은밀한 교수법,77374.44427778429
소원,549283.0195728119
고양이 소녀,76881.22081616335
롤플레이 2 : 동침,77374.44427778429
동창생,852879.5867626604
용의자,4034197.3353518946
미녀전쟁,99516.3720985322
캐치미,876592.2978175192
그 강아지 그 고양이,72323.07563884654
화려한 외출,139428.41467060175
오하이오 삿포로,75196.3121743813
마이 리틀 히어로,3405337.9122154303
박수건달,3832851.622166275
배꼽,81464.53952521333
나가요 미스콜,126830.25199849796
우아한 거짓말,1545048.054939403
미스터 컴퍼니,74234.67429098987
우리별 일호와 얼룩소,74623.66357293003
찌라시: 위험한 소문,2355138.9198512137
조선미녀삼총사,695982.9423879159
만찬,1166697.8620559638
한 번도 안 해본 여자,99786.34122826484
살인자,265883.591347624
  이것이 우리의 끝이다,298531.42772026267
그댄 나의 뱀파이어,47913.17644589731
황제를 위하여,1098707.775604865
레디액션! 폭력영화,121740.4469371683
스퀴시랜드,154488.05976052204
우는 남자,2224875.706100338
하이힐,3269760.9895174834
도희야,50573.99546163324
표적,1431935.2942404952
10분,166054.5312498768
메이크 유어 무브,700626.1274297208
카토 프로젝트,64375.863047994884
녀녀녀,170726.26335179326
방황하는 칼날,3250337.1491851443
바리새인,64940.68737777691
욕망의 독: 중독,246269.35820986648
설계,247373.81679781497
레쓰링,46658.16699041376
원 컷 - 어느 친절한 살인자의 기록,305444.0236612655
픽업 아티스트,302020.8584388508
옹녀뎐,41587.95663222625
왓니껴,584644.28173662
족구왕,209438.35557788258
내 연애의 기억,58479.915616028266
바세코의 아이들,50300.15779088676
명량,4450278.995897218
군도: 민란의 시대,4450278.995897218
산타바바라,59144.73566400432
나는 야한 여자가 좋다,83337.29045982327
숙희,60252.593970476635
더 테너 리리코 스핀토,689891.4007707981
기술자들,2291270.485857782
신화 라이브 3D 더 레전드 컨티뉴스,115918.2590398241
악사들,82859.03987876442
울언니,83924.92964811443
정사: 위험한 성적유희,131456.33986663938
레디액션 청춘,2823421.886366937
"제자, 옥한흠",130705.55240815114
환상,76128.1029792132
위층여자,75235.23052668766
가자! 장미여관으로 3 - 방황,95855.69097415893
나는 야한 여자가 좋다 3,83337.29045982327
스물,1830349.7372339473
그라운드의 이방인,263638.0594529543
살인의뢰,1268886.7715969428
살인캠프,249951.4797617952
헬머니,775988.2223993144
조류인간,217890.15225797868
최강전사 미니특공대 : 새로운 악당의 습격,171601.4413163874
생각보다 맑은,150913.85205219925
고양이 장례식,228964.0521065243
설해,481609.65069992794
나의 절친 악당들,1106336.4906720256
연평해전,3889135.4949133457
극비수사,612539.8982915097
성난 화가,149265.4920145387
은밀한 유혹,892348.3723891597
혜경궁 홍씨,1121716.5734145062
무뢰한,1533777.5801021247
간신,4450278.995897218
연애의 맛,997508.6762315647
잡식가족의 딜레마,226069.7203450419
플랑크 상수,41512.037476551595
장수상회,1170090.1288110802
파울볼,27458.229642540282
춘희막이,55282.3576517227
덫: 치명적인 유혹,497987.8183182154
션샤인 러브,384010.24998337444
사도,3830904.490501348
돼지 같은 여자,223241.42013336913
사랑이 이긴다,47426.18890978075
슈퍼레이서 엔지,1340614.9383409712
제 7기사단,276545.387883331
고백,93880.28120290655
미쓰 와이프,3546754.177588397
위로공단,49368.20801866714
베테랑,2851637.215270208
악인은 살아 있다,346760.72473495506
쓰리 썸머 나잇,1053631.573728011
마돈나,504378.0037187772
"나의 아들, 나의 어머니",133871.9234766278
슬픈남자,122572.53702509287
타이밍,112680.21065407098
타투,402608.4293364983
어떤이의 꿈,42374.09368312527
해에게서 소년에게,79632.80814869644
울보 권투부,126382.6193878066
어떤살인,448079.09931113303
말하지 못한 비밀,276724.59341220796
조선안방 스캔들-칠거지악 2,58187.41469855417
